id,name,countries,degree_of_endangerment,number_of_speakers,latitude,longitude
1443,ǁKu ǁ'e,South Africa,Extinct,0,-29.9739,27.0812
1445,ǁKx'au,South Africa,Extinct,0,-32.2896,21.7968
130,ǁXegwi,South Africa,Extinct,0,-25.35,30.99
1177,A'tong,India,Severely endangered,NA,25.2844,91.1755
2186,Aché,Paraguay,Definitely endangered,NA,-25.6613,-55.6787
118,Akie,United Republic of Tanzania,Critically endangered,NA,-4.7735,37.3315
1993,Akuriyo,Suriname,Critically endangered,NA,2.8442,-55.7556
1011,Alemannic,"Germany, Austria, France, Italy, Liechtenstein, Switzerland",Vulnerable,NA,47.2792,7.6904
1975,Amami,Japan,Definitely endangered,NA,28.3672,129.4958
2477,Amok,"China, Lao People's Democratic Republic, Myanmar, Thailand",Critically endangered,NA,21.361,100.6457
2478,Angku,Myanmar,Critically endangered,NA,21.4888,100.8325
333,Auvergnat,France,Severely endangered,NA,45.1278,3.1311
2714,Balti,"India, Pakistan",Vulnerable,NA,35.0659,76.1901
1334,Baraba Tatar,Russian Federation,Severely endangered,NA,55.2478,77.893
1961,Baré (Venezuela),Venezuela (Bolivarian Republic of),Critically endangered,NA,1.428,-66.9287
1019,Bavarian,"Germany, Austria, Hungary, Italy, Switzerland, Czech Republic",Vulnerable,NA,48.4146,12.6123
2087,Bay Islands Creole,Honduras,Critically endangered,NA,16.3297,-86.5299
1581,Bellari,India,Critically endangered,NA,11.6952,76.4648
2062,Berbice Dutch Creole,Guyana,Critically endangered,NA,5.3918,-57.777
1607,Bhalesi,India,Definitely endangered,NA,33.3947,76.1352
2465,Brao,"Cambodia, Lao People's Democratic Republic, Viet Nam",Severely endangered,NA,14.1177,106.7644
2396,Bungee,Canada,Critically endangered,NA,50.0667,-96.9763
1521,Burgundian,France,Severely endangered,NA,47.2344,4.2517
2016,Cabiyarí,Colombia,Critically endangered,NA,0.1208,-71.1474
2185,Cappadocian Greek (Greece),Greece,Critically endangered,NA,40.9798,24.104
2038,Carabayo,Colombia,Extinct,NA,-1.6666,-70.3333
1659,Cavineña,Bolivia (Plurinational State of),Definitely endangered,NA,-12.3829,-66.7419
804,Cayuga (Canada),Canada,Critically endangered,NA,43.019,-80.1506
2486,Central Asian Arabic,"Uzbekistan, Tajikistan, Afghanistan",Definitely endangered,NA,36.9608,66.8133
1520,Champenois,"Belgium, France",Severely endangered,NA,48.6474,4.3725
697,Chichimec,Mexico,Vulnerable,NA,21.2941,-100.5233
256,Chinook Jargon,United States of America,Critically endangered,NA,45.0591,-123.6091
888,Chiwere,United States of America,Extinct,NA,35.9761,-97.3336
2464,Chuang,Cambodia,Critically endangered,NA,13.5688,105.0589
367,Corfiot Italkian,Greece,Critically endangered,NA,39.5908,19.8591
339,Cornish,United Kingdom of Great Britain and Northern Ireland,Critically endangered,NA,50.4575,-4.746
1335,Crimean Turkish,Ukraine,Severely endangered,NA,44.6764,34.3267
2004,Desano (Colombia),Colombia,Definitely endangered,NA,0.8898,-70.0543
2217,Domari,"Egypt, Israel, Jordan, Lebanon, Libyan Arab Jamahiriya, Palestine, Syrian Arab Republic",Severely endangered,NA,32.2128,35.2908
1596,East Franconian,"Germany, Czech Republic",Vulnerable,NA,50.0571,10.7336
721,Eastern Mansi,Russian Federation,Critically endangered,NA,60.7752,67.6098
2474,En,Myanmar,Critically endangered,NA,21.2872,99.4816
478,Even (Kamtchatka),Russian Federation,Severely endangered,NA,56.062,158.9501
471,Even (Siberia),Russian Federation,Severely endangered,NA,67.6593,134.6594
674,Evenki (Northern Siberia),Russian Federation,Severely endangered,NA,64.2875,100.2282
495,Evenki (Sakhalin),Russian Federation,Severely endangered,NA,51.727,142.5585
2450,Evenki (Southern Siberia),"Mongolia, Russian Federation",Severely endangered,NA,51.9833,116.5833
2215,Figuig,Morocco,Vulnerable,NA,32.0895,-1.2222
1522,Franc-Comtois,"France, Switzerland",Severely endangered,NA,47.2829,6.5093
354,Gagauz (Deli Orman),Bulgaria,Critically endangered,NA,43.5963,26.8286
673,Gagauz (South Balkans),"Greece, The former Yugoslav Republic of Macedonia, Turkey",Severely endangered,NA,41.4633,22.6977
2456,Gangou,China,Severely endangered,NA,35.55,102.43
1346,Gottscheerish,Slovenia,Critically endangered,NA,45.6332,14.8123
2052,Guaná,Paraguay,Critically endangered,NA,-21.9532,-58.0517
2395,Han (Canada),Canada,Critically endangered,NA,64.062,-139.4278
1493,Homshetsma (Caucasus),"Georgia, Russian Federation",Severely endangered,NA,43.2452,40.3582
1492,Homshetsma (Turkey),Turkey,Definitely endangered,NA,41.468,41.558
2203,Hulaula (Iran),Iran (Islamic Republic of),Extinct,NA,35.9068,46.1535
2397,Huron-Wyandot (Canada),Canada,Critically endangered,NA,46.8722,-71.3651
2717,Jad,"India, Pakistan",Definitely endangered,NA,30.645,78.3627
2469,Jahai,Malaysia,Critically endangered,NA,5.3597,101.7763
2588,Javindo Creole,Indonesia,Critically endangered,NA,-7.0136,110.4345
2724,Jeju,Republic of Korea,Critically endangered,NA,33.3671,126.4974
2019,Jitnu,Colombia,Definitely endangered,NA,6.5118,-70.8837
374,Judezmo (Europe),"Albania, Algeria, Bosnia and Herzegovina, Bulgaria, Croatia, Greece, The former Yugoslav Republic of Macedonia, Morocco, Romania, Turkey, Serbia",Severely endangered,NA,41.2607,28.4985
2216,Juhur (Israel),Israel,Definitely endangered,NA,31.5166,34.5964
1938,Kaurna,Australia,Critically endangered,NA,-34.8498,138.6474
2298,Kensiw (Malaysia),Malaysia,Critically endangered,NA,5.9033,100.9227
2297,Kentak,Malaysia,Critically endangered,NA,5.5383,100.7861
1608,Khasali,India,Definitely endangered,NA,32.0267,77.893
1598,Kili,Russian Federation,Severely endangered,NA,48.8068,134.121
2723,Koro,India,Definitely endangered,NA,27.1667,92.6312
2467,Kraol,Cambodia,Critically endangered,NA,13.588,106.9438
2466,Kravet,Cambodia,Critically endangered,NA,14.0175,107.0136
2460,Krueng,Cambodia,Severely endangered,NA,13.8219,106.9938
2463,Kuay,Cambodia,Severely endangered,NA,13.9047,105.3712
1974,Kunigami,Japan,Definitely endangered,NA,26.7186,128.2131
140,Lakota,Canada,Critically endangered,NA,49.3276,-106.4439
537,Langrong,India,Critically endangered,NA,24.4671,94.1473
622,Lengua,Paraguay,Severely endangered,NA,-22.5125,-58.0957
380,Livonian,Latvia,Critically endangered,NA,57.6101,22.2802
1519,Lorrain,"Belgium, France",Severely endangered,NA,48.8357,6.0644
1497,Lua,Thailand,Definitely endangered,NA,19.0049,101.184
2007,Macaguaje,Colombia,Extinct,NA,0,-75
2005,Macuna (Colombia),Colombia,Definitely endangered,NA,-0.2636,-70.2026
623,Maká,Paraguay,Definitely endangered,NA,-25.2645,-57.2387
1579,Manda,India,Critically endangered,NA,20.1384,84.0289
387,Manx,United Kingdom of Great Britain and Northern Ireland,Critically endangered,NA,54.2106,-4.5318
1992,Mawayana (Guyana),Guyana,Critically endangered,NA,1.5159,-58.4143
2468,Menri',Malaysia,Critically endangered,NA,5.055,102.2502
695,Michif,Canada,Critically endangered,NA,51.3119,-103.979
2020,Miraña (Colombia),Colombia,Severely endangered,NA,-1.5818,-70.5651
1973,Miyako,Japan,Definitely endangered,NA,24.8004,125.2798
1243,Mohawk (Ganienkeh),United States of America,Definitely endangered,NA,44.8675,-73.67
2517,Mohawk (Kahnawake),Canada,Definitely endangered,NA,45.4013,-73.6677
264,Mohawk (Kanatsiohareke),United States of America,Definitely endangered,NA,42.9116,-74.5587
1381,Mohawk (Kanesatake),Canada,Definitely endangered,NA,45.4685,-74.0972
2516,Mohawk (Six nations),Canada,Definitely endangered,NA,43.0463,-80.069
1325,Mohawk (Tyendinega),Canada,Definitely endangered,NA,44.189,-77.1494
1324,Mohawk (Wahta),Canada,Definitely endangered,NA,45.0333,-79.7333
2208,Mok (Lao PDR),Lao People's Democratic Republic,Definitely endangered,NA,20.73,101.4197
2089,Mosquitia Creole,Nicaragua,Definitely endangered,NA,12.0114,-83.7638
2022,Muinane,Colombia,Definitely endangered,NA,-1.4061,-72.3779
265,Munsee (United States of America),United States of America,Critically endangered,NA,40.8969,-76.3769
2189,Nivaclé,Paraguay,Vulnerable,NA,-23.3019,-60.3369
464,Nivkh (Amur),Russian Federation,Critically endangered,NA,53.2684,140.4107
348,Nogay (Crimea),Ukraine,Severely endangered,NA,45.9435,33.9477
391,Nogay (Dobruja),Romania,Severely endangered,NA,44.6491,27.8173
2021,Nonuya,Colombia,Critically endangered,NA,-0.747,-71.9165
392,Norman,France,Severely endangered,NA,49.081,-0.6591
500,Northern Altay,Russian Federation,Severely endangered,NA,52.2816,87.4827
262,Northern Haida,"Canada, United States of America",Critically endangered,NA,54.0397,-132.1776
930,Northwestern Otomí,Mexico,Vulnerable,NA,21.0996,-100.1584
1998,Nukak,Colombia,Definitely endangered,NA,2.3504,-71.3507
1976,Okinawan,Japan,Definitely endangered,NA,26.2047,127.6831
2368,Oneida (Canada),"Canada, United States of America",Critically endangered,NA,42.8286,-81.4068
2369,Onondaga (Canada),"Canada, United States of America",Critically endangered,NA,43.1194,-80.1174
1566,Padri,India,Vulnerable,NA,33.8886,76.3
2470,Palaung,Myanmar,Severely endangered,NA,23.1058,97.488
2471,Pale,Myanmar,Severely endangered,NA,22.1511,97.8386
2094,Panamanian Creole,Panama,Definitely endangered,NA,9.3878,-82.2696
